Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Location,Medium,Oatmeal-1kg,Oatmeal-2kg,Oatmeal-5kg,Fonio-1kg,Garri-1kg,Plantain_Chips -1kg,Buying_Convenience,Easy Payment option,Discount_Opinons,Product_Quality,Health Concern,Prompt_Delivery,Delivery_Experince,Affordability,Accessibility,Time_Importance,Order Time,Google Maps Accuracy,Influence of rating,Packaging_Quality,Politeness,Freshness,Good Taste ,Good Quantity,Output,Reviews
20,Female,Married,Employeed,>200000,Post Graduate,4,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Yes,Weekend (Sat & Sun),Neutral,Yes,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,"Nil
"
24,Female,Married,Employeed,>200000,Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),Neutral,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil
22,Male,Married,Employeed,>200000,Post Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),Strongly Agree,Yes,Very Important,Very Important,Very Important,Very Important,Moderately Important,Yes,"Many a times payment gateways are an issue, so getting the refund and the surcharges are an inconvenience"
22,Female,Married,Employeed,>200000,Graduate,6,Lagos,Supermarkets,Yes,No,No,No,Yes,Yes,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Neutral,Agree,Yes,Anytime (Mon-Sun),Agree,Yes,Important,Very Important,Very Important,Very Important,Important,Yes,nil
22,Male,Married,Employeed,>200000,Post Graduate,4,Lagos, Direct call,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Yes,Weekend (Sat & Sun),Agree,Yes,Important,Important,Important,Very Important,Very Important,Yes,NIL
27,Female,Married,Employeed,>200000,Post Graduate,2,Lagos,Supermarkets,No,No,No,No,Yes,Yes,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Yes,Anytime (Mon-Sun),Agree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,NIL
22,Male,Married,Employeed,>200000,Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Strongly agree,Agree,Neutral,Agree,Disagree,Disagree,Strongly disagree,Disagree,No,Anytime (Mon-Sun),Strongly Agree,Yes,Very Important,Important,Very Important,Very Important,Very Important,Yes,Nil
24,Female,Married,Employeed,>200000,Post Graduate,3,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Yes,Weekend (Sat & Sun),Agree,Maybe,Important,Slightly Important,Important,Very Important,Very Important,Yes,NIL
23,Female,Married,Employeed,>200000,Post Graduate,2,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Yes,Anytime (Mon-Sun),Disagree,Maybe,Important,Important,Important,Important,Important,Yes,Nil
23,Female,Married,Employeed,>200000,Post Graduate,4,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Yes,Weekend (Sat & Sun),Agree,Yes,Very Important,Moderately Important,Moderately Important,Very Important,Very Important,Yes,Nil
22,Female,Married,Employeed,>200000,Post Graduate,5,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Yes,Anytime (Mon-Sun),Agree,Yes,Very Important,Important,Very Important,Very Important,Very Important,Yes,Nil
23,Male,Married,Employeed,<50000,Post Graduate,2,Lagos,Supermarkets,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,Maybe,Weekend (Sat & Sun),Disagree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Language barrier is also one major issue. Moslty these delivery boys are only familiar with Kanada which creates a problem while addressing any issue.
23,Male,Married,Employeed,<50000,Post Graduate,5,Lagos,Walk-in,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Yes,Weekend (Sat & Sun),Agree,Maybe,Unimportant,Moderately Important,Moderately Important,Moderately Important,Slightly Important,Yes,Nil
21,Male,Married,Employeed,<200000,Graduate,4,Lagos,Walk-in,No,No,No,No,Yes,Yes,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Agree,No,Weekend (Sat & Sun),Neutral,Yes,Important,Moderately Important,Very Important,Very Important,Very Important,Yes,Nil
